time,total_open,cluster_0_open,cluster_1_open,cluster_2_open,cluster_3_open,total_exposure_value,hour,session
2025-06-04 02:00:00,0,0,0,0,0,0.0,2,Asian
2025-06-04 03:00:00,0,0,0,0,0,0.0,3,Asian
2025-06-04 04:00:00,0,0,0,0,0,0.0,4,Asian
2025-06-04 05:00:00,0,0,0,0,0,0.0,5,Asian
2025-06-04 06:00:00,0,0,0,0,0,0.0,6,Asian
2025-06-04 07:00:00,0,0,0,0,0,0.0,7,Asian
2025-06-04 08:00:00,0,0,0,0,0,0.0,8,London
2025-06-04 09:00:00,0,0,0,0,0,0.0,9,London
2025-06-04 10:00:00,0,0,0,0,0,0.0,10,London
2025-06-04 11:00:00,0,0,0,0,0,0.0,11,London
2025-06-04 12:00:00,0,0,0,0,0,0.0,12,NY Overlap
2025-06-04 13:00:00,0,0,0,0,0,0.0,13,NY Overlap
2025-06-04 14:00:00,0,0,0,0,0,0.0,14,NY Overlap
2025-06-04 15:00:00,0,0,0,0,0,0.0,15,NY Overlap
2025-06-04 16:00:00,0,0,0,0,0,0.0,16,NY Overlap
2025-06-04 17:00:00,0,0,0,0,0,0.0,17,Late US
2025-06-04 18:00:00,0,0,0,0,0,0.0,18,Late US
2025-06-04 19:00:00,0,0,0,0,0,0.0,19,Late US
2025-06-04 20:00:00,0,0,0,0,0,0.0,20,Late US
2025-06-04 21:00:00,0,0,0,0,0,0.0,21,Late US
2025-06-04 22:00:00,0,0,0,0,0,0.0,22,Late US
2025-06-04 23:00:00,0,0,0,0,0,0.0,23,Late US
2025-06-05 00:00:00,0,0,0,0,0,0.0,0,Asian
2025-06-05 01:00:00,0,0,0,0,0,0.0,1,Asian
2025-06-05 02:00:00,0,0,0,0,0,0.0,2,Asian
2025-06-05 03:00:00,0,0,0,0,0,0.0,3,Asian
2025-06-05 04:00:00,0,0,0,0,0,0.0,4,Asian
2025-06-05 05:00:00,0,0,0,0,0,0.0,5,Asian
2025-06-05 06:00:00,0,0,0,0,0,0.0,6,Asian
2025-06-05 07:00:00,0,0,0,0,0,0.0,7,Asian
2025-06-05 08:00:00,0,0,0,0,0,0.0,8,London
2025-06-05 09:00:00,0,0,0,0,0,0.0,9,London
2025-06-05 10:00:00,0,0,0,0,0,0.0,10,London
